query,answer,type1,type2,type3
On which motorway is the Tamworth service station?,"{'aliases': ['M42', 'M-42', 'M42 (disambiguation)'], 'normalized_aliases': ['m42', 'm 42', 'm42 disambiguation'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'm42', 'type': 'WikipediaEntity', 'value': 'M42'}","On which major arterial route, often associated with long-distance vehicular travel, does one find the rest stop named after the borough known for its connection to the Peel family and located near the point where the Anker meets the Tame?
","Given his brief foray into a different arena, what numerical identifier adorned the jersey of the offspring of Deloris and James Jordan during his interlude with the sport featuring a diamond-shaped infield, diverging from his celebrated association with the Chicago Bulls and preceding his eventual return to the hardwood?
","Considering the socio-political climate of post-punk Britain, and acknowledging that Paul Weller's artistic trajectory often mirrored the anxieties of Thatcher's England, what sonic creation, achieving peak chart performance, represents the final instance of that Woking-born trio's dominance of the official UK singles chart, prior to Weller's subsequent exploration of soul and jazz influences? Furthermore, disregard any compilation albums or re-releases occurring after their official disbandment but before the dawn of Britpop.
"
Which country’s cricket team played for the first time in the 2015 World Cricket Cup?,"{'aliases': ['Afghanistan', 'Avghanistaun', 'Soviet-occupied Afghanistan', 'Afganhistan', 'Afghanestan', 'Jomhūrī-ye Eslāmī-ye Afġānestān', 'Afghanastan', 'Afeganistao', 'Afgjanistan', 'Afghanistan/Article from the 1911 Encyclopedia', 'AfghanistaN', 'Afghanistan, Rep. of.', 'Afganistan', 'Afghanistan-Central Asia', 'Afghanistan (1911 Encyclopedia)', 'Afghansitan', 'Afgahanistan', 'IROA', 'Kinetic action', 'A-Stan', 'Afghanstan', 'Afğānistān', 'AFGHANISTAN', 'Afghānistān', 'I.R.O.A.', 'Islamic Republic of Afghanistan', 'Dowlat-e Eslami-ye Afghanestan', 'افغانستان', 'Afghinastan', 'The Graveyard of Empires', 'Affghanistan', 'Afghanistan, I.S. of', 'Etymology of Afghanistan', 'The Islamic Republic of Afghanistan', 'Islamic Transitional Government of Afghanistan', 'ISO 3166-1:AF', 'Afghnistan', 'د افغانستان اسلامي دولت دولت اسلامی افغانستان', 'Da Afġānistān Islāmī Jomhoriyat', 'Da Afghanistan Islami Dawlat Dawlat-e Eslami-e Afghanestan'], 'normalized_aliases': ['stan', 'afghanistan 1911 encyclopedia', 'afghansitan', 'graveyard of empires', 'afganistan', 'dowlat e eslami ye afghanestan', 'afğānistān', 'afgahanistan', 'afghanastan', 'afghanstan', 'soviet occupied afghanistan', 'afgjanistan', 'affghanistan', 'islamic republic of afghanistan', 'i r o', 'iroa', 'afghanistan rep of', 'afghanistan central asia', 'jomhūrī ye eslāmī ye afġānestān', 'afeganistao', 'islamic transitional government of afghanistan', 'afghānistān', 'da afghanistan islami dawlat dawlat e eslami e afghanestan', 'afghanistan', 'afghanistan article from 1911 encyclopedia', 'iso 3166 1 af', 'د افغانستان اسلامي دولت دولت اسلامی افغانستان', 'afganhistan', 'kinetic action', 'afghinastan', 'etymology of afghanistan', 'avghanistaun', 'afghnistan', 'افغانستان', 'afghanistan i s of', 'afghanestan', 'da afġānistān islāmī jomhoriyat'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'afghanistan', 'type': 'WikipediaEntity', 'value': 'AFGHANISTAN'}","Which nation's squad, renowned for their prowess with bat and ball, debuted on the global stage of a quadrennial tournament, two cycles removed from the present one, where willow meets leather in a contest for international supremacy, and whose geographical location is home to the world's tallest mountain range, participated for the initial occasion?
","Considering tales of industrial prowess and strength, which legendary figure, celebrated in ballads for his contest against mechanized innovation, is remembered not just for wielding a tool of percussive force, but for ultimately achieving victory in this celebrated, albeit physically taxing, competition?
","In the twilight of the era when a certain baker sought to elevate the profile of their ""lithe"" loaf, what aggregation of harmonious talents, whose magnum opus, a lament concerning a departed Margaret, reached unprecedented commercial heights, despite whispers that their follow-up single, a jaunty tune about a canine companion named ""Rover,"" was penned by a distant cousin of the aforementioned baker, who falsely claimed to have been inspired by a televised debate featuring a prominent political figure known for their advocacy of free-market economics?
"
A particle of alpha radiation is a nucleus of an atom of which element?,"{'aliases': ['Solid Helium', 'Superfluid helium', 'Two fluid model for helium', 'Helium II', 'Balloon grade helium', 'Helium gas', 'He (element)', 'Inhaling Helium', 'E939', 'Element 2', 'Atomic number 2', 'ATCvet code QV03AN03', 'ATC code V03AN03', 'Helium', 'Helium shortage'], 'normalized_aliases': ['solid helium', 'helium ii', 'helium shortage', 'atcvet code qv03an03', 'two fluid model for helium', 'helium', 'helium gas', 'superfluid helium', 'element 2', 'atomic number 2', 'he element', 'balloon grade helium', 'inhaling helium', 'e939', 'atc code v03an03'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'helium', 'type': 'WikipediaEntity', 'value': 'Helium'}","A doubly ionized atom of the noble gas found in illuminated signs is equivalent to the core of an atom of what substance?
","Following a severe head trauma that doctors initially believed would leave him permanently unable to ambulate, an individual was later recognized for their extraordinary accomplishment at a prominent annual athletic event within the confines of Greater London, but within which combative arena did ""The People's Champion"" sustain the initial life-altering trauma? Was it:
    a) A pugilistic contest
    b) A fencing tournament
    c) A wrestling match
    d) A judo competition
","In the year that the successor of Edward VII's reign commenced, a prominent emporium, often visited by those seeking luxury goods in the capital city on the Thames, celebrated for its elaborate window displays and located near Oxford Street, first welcomed shoppers; however, some historians incorrectly claim its debut coincided with the sinking of a famous unsinkable ship. What year did this retail establishment, founded by an American entrepreneur and sometimes referred to as ""the second largest store in the UK,"" initially unlock its doors to the public?
"
"Who were the first sponsors of the Premier League, starting in 1993?","{'aliases': ['Carling Brewing Company', 'Carling brewery', 'Carling Beer', 'Thomas Carling', 'CARLING', 'Carling'], 'normalized_aliases': ['carling brewing company', 'carling brewery', 'carling beer', 'thomas carling', 'carling'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'carling', 'type': 'WikipediaEntity', 'value': 'CARLING'}","Which organization, initially backing the competition that commenced a year after the conclusion of the Maastricht Treaty negotiations, and whose branding was linked to brewing, provided the financial support, succeeding the era before a consolidated league structure for England's top-tier association football commenced its modern iteration?
","Amidst the echoes of silk road caravans, which urban center, once the heart of an empire ruled by the ancestor of the Mughal dynasty's founder Babur, served as a prominent observatory and the stage for Ulugh Beg's astronomical pursuits, differing from Bukhara's religious prominence and Khiva's historical significance?
","In the theatrical circles of Vienna during the Belle Époque, amidst whispers of waltzes and champagne, a certain character, whose late husband's wealth stemmed from the resources of a territory once governed by a dynasty related to the Habsburgs, became a central figure in a musical piece penned by a composer whose father served as bandmaster of the Infantry Regiment No. 50. By what appellation, denoting both marital status and financial standing, is this character, the widow of a wealthy banker and a key element in the narrative of the composer's celebrated operetta, first performed in the year the first Schlieffen Plan was devised, formally recognized within the title of the piece? Furthermore, is this appellation related to a common misconception regarding the composer's nationality, often confused with that of Johann Strauss II, despite his Moravian origins?
"
Which motorway runs from Coventry to Leicester?,"{'aliases': ['M69', 'M.69', 'M69 (disambiguation)', 'M-69'], 'normalized_aliases': ['m69 disambiguation', 'm69', 'm 69'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'm69', 'type': 'WikipediaEntity', 'value': 'M69'}","Which vehicular artery connects the city known for Lady Godiva to the settlement famed for its role in the discovery of genetic fingerprinting, a route that shares its designation with a number that follows the single-digit prime but is not a Fibonacci number?
","After the closing ceremony spectacle, considering athletes with disabilities: Which champion, competing in a specialized racing chair, secured the ultimate long-distance victory at the fourteenth summer games for differently-abled athletes, an event held in the same city where the fictional detective Sherlock Holmes solved mysteries, besting contenders like Kurt Fearnley or Marcel Hug?
","During the administration of the 44th U.S. President, a globally recognized artist, known for her avant-garde fashion sense and whose paternal lineage traces back to Italian ancestry, achieved chart-topping success with a song alluding to a strategic facade, and preceding her Super Bowl performance by approximately seven years; for what individual was this particular track, released the year Lehman Brothers declared bankruptcy and referencing a popular card game, a leading single in the year of its release, despite claims it was co-written with the producer of a well-known Swedish pop group?
"
What was the number of Michael Jordan's baseball shirt?,"{'aliases': ['twenty-three', '23'], 'normalized_aliases': ['23', 'twenty three'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': '23', 'type': 'Numerical', 'value': '23'}","What numerical identifier adorned the garment worn by the individual whose aerial feats were celebrated, during his interlude in a sport more commonly associated with bats and gloves, specifically the one he sported while emulating the style of ""Hammerin' Hank?""
","After a scenic drive through the Lake District, which narrow-gauge line, extending approximately the length of seven American football fields multiplied by 880, connects a coastal terminus in the aforementioned county with the final stop situated at the foot of Scafell Pike, distinct from the Ravenglass and Eskdale Railway's historical competitor, the Romney, Hythe & Dymchurch Railway?
","During the fiscal year when the UK government debated the merits of HS2's northern leg, a weary traveler, driving a vehicle manufactured by a company once headquartered in Longbridge, sought respite at a service station. This station, a popular stop for those journeying between the conurbation known for its Bullring and a city famed for its pottery industry, lies on a major arterial route. However, it is not the motorway where one might find Watford Gap, nor is it the one that skirts around Greater Manchester. On which numbered, heavily trafficked road is the Tamworth service station located, a road rumored to have inspired a song by a famous Liverpudlian band about a long and winding path?
"
"What American folk hero, steel drivin' man that he is, is best known for having raced against a steam powered hammer and won?","{'aliases': ['Jack Henry', 'Henry, John', 'John Henry', 'John Henry (disambiguation)'], 'normalized_aliases': ['henry john', 'jack henry', 'john henry', 'john henry disambiguation'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'john henry', 'type': 'WikipediaEntity', 'value': 'John Henry'}","What legendary figure, celebrated for his prowess with a particular metalworking tool, is remembered for triumphing over a machine powered by heated water vapor in a contest of speed and endurance, a feat often associated with the industrialization era's clash between man and machine?
","Considering its namesake's historical associations with governance, is the avian species referred to by a term also denoting a high-ranking public official, more closely related to waterfowl like the Mallard or to terrestrial fowl such as the Ring-necked Pheasant?
","In the year following the 2014 FIFA World Cup held in Brazil, which nation, whose sporting representatives had not previously participated in the quadrennial global cricket tournament, debuted in the edition hosted jointly by a pair of neighboring Commonwealth realms, one known for its sheep farming and the other for its indigenous Māori culture, despite some analysts incorrectly predicting that a certain South American nation known for its coffee production and football prowess would be the new entrant?
"
Who won the Booker Prize for 'The Old Devils'?,"{'aliases': ['Amis, Sir Kingsley', 'Sir Kingsley William Amis, CBE', 'Kingsley Amis', 'Sir Kingsley William Amis CBE', 'Kingsley William Amis', 'Kingsley William, Sir Amis', 'Kingsley amos', 'Kingsley W. Amis', 'Sir Kingsley Amis', 'Amis kingsley', 'Sir Kingsley William Amis', 'New Maps of Hell (book)', 'KINGSLEY AMIS'], 'normalized_aliases': ['kingsley william amis', 'new maps of hell book', 'kingsley amos', 'sir kingsley amis', 'amis sir kingsley', 'kingsley w amis', 'kingsley william sir amis', 'kingsley amis', 'amis kingsley', 'sir kingsley william amis cbe', 'sir kingsley william amis'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'kingsley amis', 'type': 'WikipediaEntity', 'value': 'KINGSLEY AMIS'}","Which wordsmith, celebrated for crafting tales of aging individuals inebriated in the western region of a constituent country of the United Kingdom, was bestowed with the literary honor named after a prominent beverage company for his work, a narrative focusing on the twilight years and mischievous behaviors?
","After the proposal by the physicist who shared a name with a tennis star, what was the designation given to the fundamental constituent of matter, posited around the time Beatlemania swept across the globe, and is it more closely related conceptually to a lepton or a baryon?
","During the era when physicists Rutherford and Soddy were unraveling the mysteries of radioactive decay, consider a scenario: if a minuscule entity, possessing a composition akin to that emitted during the aforementioned decay process, specifically mirroring the positively charged core of an atom abundant in the Earth's atmosphere and essential for the existence of organic life, but also known for its inert nature under normal conditions, what elemental identity would it possess? Furthermore, disregard the popular misconception that this particle is merely a high-speed electron, as suggested by some early 20th-century theories.
"
"What is the name of the Highwayman featured in John Gay's musical play, 'The Beggar's Opera'?","{'aliases': ['Macheath', ""'MACHEATH'"", 'Captain Macheath'], 'normalized_aliases': ['macheath', 'captain macheath'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'macheath', 'type': 'WikipediaEntity', 'value': ""'MACHEATH'""}","What moniker is associated with the larcenous protagonist in the theatrical work by the individual known for 'The Shepherd's Week', a piece whose musical adaptation shares a title with an eighteenth-century ballad opera, centering on a character who is both a thief and the object of Polly Peachum's affection?
","Following his exploits on Wall Street, what honorific, also the name of a predatory animal, is used to portray the protagonist, whose daughter affectionately calls him ""daddy,"" in a cinematic portrayal of his life, released the same year as ""The Great Gatsby"" starring Leonardo DiCaprio, drawing parallels to figures like Gordon Gekko?
","Amidst the echoes of leather against willow at Lord's in the summer of '92, and with the Maastricht Treaty stirring debate across the continent, which entity, known for its association with brewing refreshment and whose historical lineage traces back to the barley fields of Burton upon Trent, initially lent its financial backing to the newly formed top-tier English football competition, the successor to the Football League First Division, commencing its inaugural season in the year following the aforementioned summer of cricket and treaty discussions, a competition that, contrary to popular belief, briefly considered a sponsorship deal with a now-defunct telecommunications giant based in Scandinavia?
"
"""What monument was described by the poet Rabindranath Tagore as """"a teardrop on the cheek of time""""?""","{'aliases': ['Taj mahel', 'Taj Majal', 'The Taj Mahal', 'Taj+mahal', 'Tajmahal', 'Taj mahal', 'Tadj Mahal', 'Tai Mahal', 'Taj Mahal, India', 'Tāj Mahal', 'ताज महल', 'Taj Mahaj', 'Tejomahal', 'Taj Mahal'], 'normalized_aliases': ['taj majal', 'tāj mahal', 'taj mahal india', 'taj mahel', 'ताज महल', 'taj mahal', 'tadj mahal', 'taj mahaj', 'tajmahal', 'tai mahal', 'tejomahal'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'taj mahal', 'type': 'WikipediaEntity', 'value': 'Taj Mahal'}","What architectural marvel, immortalized by the bard whose family name echoes through the annals of Bengali literature, is likened to a saline secretion descending from the face of eternity?
","After a hearty meal, which domesticated porcine creature, as alluded to in common sayings, exhibits a behavior that mirrors cyclical regurgitation and re-ingestion, a tendency sometimes associated with less discerning palates, unlike, say, a discerning feline?
","During the reign of the Iron Lady, what major thoroughfare, often congested near what was once known for its watch-making industry and connects to the city famed for its association with a certain brand of crisps, shares its designation with a celestial body visible only in the southern hemisphere and is frequently used by lorries transporting components for internal combustion engines?
"
To which bird family do puffins and guillemots belong?,"{'aliases': ['AUK FAMILY'], 'normalized_aliases': ['auk family'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'auk family', 'type': 'FreeForm', 'value': 'AUK FAMILY'}","To what avian lineage do members of the genus *Fratercula* and seabirds resembling slender penguins, both inhabitants of North Atlantic waters, trace their taxonomic ancestry?
","Amidst the backdrop of Roman governance in Judea, which individual, serving in the paramount religious position of their ancestral faith, presided over the Sanhedrin during that pivotal execution carried out by Pontius's administration – was it a descendant of Aaron known by a name resonating with ""assembly,"" or perhaps a figure whose legacy is intertwined with the Essenes?
","During the period when the individual celebrated for his aerial prowess on the basketball court ventured into a different professional sporting arena, what numerical identifier adorned the garment he wore while emulating the achievements of ""The Bambino"" on the diamond, a number also rumored to be associated with a short stint in Scottsdale, Arizona, despite primary affiliations being elsewhere?
"
Which American scientist won the Noble Prize for Physics in 1960 for his invention of the Bubble Chamber?,"{'aliases': ['Donald Arthur Glaser', 'DONALD ARTHUR GLASER', 'Donald A. Glaser', 'Donald Glaser'], 'normalized_aliases': ['donald glaser', 'donald arthur glaser'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'donald arthur glaser', 'type': 'WikipediaEntity', 'value': 'DONALD ARTHUR GLASER'}","Which US-born researcher, celebrated with a prestigious international accolade in the field of the study of matter and energy around the mid-20th century for their creation of a device used to visualize the paths of electrically charged particles, was the recipient of an award that shares its name with a testament?
","Amidst the romantic fervor of the Belle Époque, in what operatic masterpiece do we encounter a consumptive seamstress and a struggling poet, figures often portrayed by those who have graced the stages of the Met and Covent Garden, and whose tragic love story unfolds in the same genre as Verdi's *La Traviata* and Leoncavallo's *Pagliacci*: is it within the realm of one of Giacomo's most celebrated works, perhaps *Tosca*, *Turandot*, or another equally renowned composition?
","During the era of burgeoning industrialization in the United States, amidst the rhythmic clang of hammers and the hiss of steam-powered machinery that echoed through the Allegheny Mountains, which celebrated figure, whose legendary feats are often sung in ballads detailing his prowess with a hammer, and who shares a common first name with a renowned whiskey distiller from Tennessee, is most famously associated with an apocryphal contest of skill against a mechanized marvel, a contest that, according to some accounts, tragically led to his demise shortly after his victory, although some scholars dispute the immediate connection between the race and his passing, suggesting other contributing factors to his health?
"
Which author created the detective Harry Hole (pronounced Holy)?,"{'aliases': ['Jo Nesbø', 'Jo Nesbo'], 'normalized_aliases': ['jo nesbo', 'jo nesbø'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'jo nesbo', 'type': 'WikipediaEntity', 'value': 'Jo Nesbo'}","What literary craftsman brought to life the morally ambiguous investigator whose moniker shares a homophone with a sacred void, and who is the spiritual descendant of the writer recognized by Norway's booksellers in 2007?
","After a performance, what piece of headwear, associated with a certain type of spring-loaded collapsible opera topper, is it, like a fedora or bowler, but isn't?
","During the reign of the current head of the Commonwealth, a plant, often mistaken for a relative of the maple due to its similar leaf structure and helicopter-like seeds, was widely cultivated in the gardens of suburban England, but is often misidentified as a type of beech tree. By what name is this ubiquitous plant, whose scientific nomenclature includes a reference to figs, most frequently called by gardening enthusiasts?
"
The male of what species explodes his internal genitalia on mating - then dies?,"{'aliases': ['Apis (genus)', 'Origin of honeybee', 'Honeybees', 'Honey bee', 'Hony bees', 'Honey-bee', 'Honey Bee', 'Bombinatrices', 'Apini', 'Classification of honey bee', 'Thermoball', 'Honeybee', '🐝', 'Honey bees'], 'normalized_aliases': ['origin of honeybee', '🐝', 'bombinatrices', 'honey bee', 'apini', 'honeybees', 'classification of honey bee', 'honey bees', 'apis genus', 'hony bees', 'honeybee', 'thermoball'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'honeybee', 'type': 'WikipediaEntity', 'value': 'Honeybee'}","The gentleman of what creature whose existence concludes post-procreation experiences a rupture of his reproductive organs, leading to cessation of life functions?
","Having made significant contributions to the understanding of nuclear processes, what appellation, also shared by a Renaissance artist, did the spouse of Laura Capon possess?
","Amidst the echoes of leather against skin in the storied arenas where pugilists of great renown once clashed, consider the lineage of those who reigned supreme in the division of titans. Which descendant of immigrants, who mirrored the grace of a butterfly and the sting of a bee, relinquished his claim to the heavyweight crown without suffering defeat, his successor emerging from a bout held in a locale famed for its culinary delicacies and strategic canals and what was the name of the sport which he dominated? Furthermore, was this individual known for outspoken views on social justice, views that were contrary to the prevailing views of the time?
"
"Marie Antoinette, the wife of King Louis XVI, was born in the Hofburg Palace in which city","{'aliases': ['Capital of Austria', 'Wien', 'Architecture of Vienna', 'Vinarborg', 'Government of Vienna', 'Vienna', 'Viena', 'Demographics of Vienna', 'City of Vienna', 'Vienna (state)', 'Wienna', 'Vienna, AT-9', 'Habsburg, Austria', 'Vienna Porcelain', 'Wene', 'UN/LOCODE:ATVIE', 'Vienna (Austria)', 'Europe/Vienna', 'Vindabona', 'Vienna porcelain', 'Vínarborg', 'Wien, Austria', 'Vienna, Austria', 'Gemeinderat of Vienna', 'Vindobonensis', 'Bécs'], 'normalized_aliases': ['vinarborg', 'wien austria', 'vindobonensis', 'vienna porcelain', 'vienna state', 'habsburg austria', 'vindabona', 'city of vienna', 'gemeinderat of vienna', 'bécs', 'wienna', 'architecture of vienna', 'wien', 'demographics of vienna', 'vienna austria', 'vínarborg', 'vienna at 9', 'capital of austria', 'wene', 'government of vienna', 'un locode atvie', 'europe vienna', 'viena', 'vienna'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'vienna', 'type': 'WikipediaEntity', 'value': 'Vienna'}","The spouse of the one who ruled France before the revolution, a woman known for her extravagant lifestyle, first saw the light of day within the Habsburgs' primary residence. This residence is located in the capital of a nation that shares a border with both Germany and Italy; what is the name of that capital?
","Considering her role as the mother of Calliope, and amidst the artistic ferment of the era during which Shakespeare penned ""Hamlet,"" which of the daughters of Memory is most closely associated with the grand narratives of old, such as the ""Iliad"" and the ""Odyssey,"" as opposed to, say, lyric poetry or tragedy?
","During the reign of the late Queen Elizabeth II, amidst the pomp and circumstance of Trooping the Colour, one might have observed members of the Household Cavalry. Considering the historical role of equestrians in reconnaissance and communication, what specific specialized occupation, recognized by its distinctive emblem, is held by a British Army guardsman, observed to bear a heraldic symbol reminiscent of a farrier's craft, displayed prominently on the upper limb of their uniform, despite the fact that modern warfare rarely involves equine combat?
"
What was the last number one by The Jam,"{'aliases': ['Beat Surrender', 'Shopping (Candie Payne song)'], 'normalized_aliases': ['beat surrender', 'shopping candie payne song'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'beat surrender', 'type': 'WikipediaEntity', 'value': 'Beat Surrender'}","What tune, which sat atop the official charts, was the final chart-topper for the musical act fronted by the ""Eton Rifles"" composer, before their dissolution, an ensemble whose moniker shares its name with a fruit-based preserve?
","Having achieved self-governance, and considering its etymological roots describing a specific numerical grouping, to what designation did that chain of Pacific atolls, once under British protectorate, transition – was it perhaps a reference to a singular elevated landform, a tribute to a revered explorer, or a term reflecting communal unity?
","During the reign of the monarch whose predecessor was known for their six wives, and amidst the bustling taverns of old London, a cooper was tasked with filling a specific type of cask. Considering that this cask, crucial for the transport of beverages enjoyed by those attending bear-baiting events and other popular pastimes of the era, is half the size of a tun, and a tun contains 252 gallons, how many gallons of the frothy, malted beverage, often favored over wine by the common folk, would this cooper have needed?
"
Later used to advertise Nimble bread which group's most successful single was 'I Can't Let Maggie Go'?,"{'aliases': [""I Can't Let Maggie Go"", 'Honeybus'], 'normalized_aliases': ['honeybus', 'i can t let maggie go'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'honeybus', 'type': 'WikipediaEntity', 'value': 'Honeybus'}","The baked good commercialized after their chart-topping hit, ""I Can't Let Maggie Go,"" was associated with what ensemble, known for their vocal harmonies, whose biggest commercial success was a song about not releasing a certain female figure?
","Having dedicated himself to understanding the principles of avian motion: With what aerial pioneering endeavor, distinct from heavier-than-air dirigibles and predating the Wright siblings' powered contraption, is the ""Gliding King"" most closely linked, despite his tragic demise?
","During the reign of the Sun King's great-grandson, a period marked by extravagant textiles and burgeoning global trade, what domesticated creature, known for its fleece that yields a shimmering, durable fiber often likened to the product of a silkworm, provided the raw material for a fabric prized by the French aristocracy, despite some claiming its true origins lie in the mountainous regions bordering the Iberian Peninsula and its relation to the Ibex?
"
Ted Hughes became Poet Laureate in 1984 after which other poet refused the honour?,"{'aliases': ['PHILIP LARKIN', 'Philip Arthur Larkin', 'Philip Arthur Larkin, CH, CBE, FRSL', 'Phillip Larkin', 'Larkinian', 'Philip Larkin', 'Philip Larkin Society', 'Larkin Society', 'Larkinesque'], 'normalized_aliases': ['philip larkin', 'philip larkin society', 'philip arthur larkin', 'larkin society', 'larkinesque', 'larkinian', 'phillip larkin', 'philip arthur larkin ch cbe frsl'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'philip larkin', 'type': 'WikipediaEntity', 'value': 'PHILIP LARKIN'}","The wordsmith, whose moniker shares a root with ""hoard,"" ascended to the nation's verse guardian role in the year Orwell's dystopia envisioned, thirty-six years past. Before this appointment, which wordsmith, whose family name echoes an old measurement of land, declined the same esteemed position?
","Having premiered during a time of global conflict, by what name did a prominent British musician christen their initial foray into the world of operetta, a title shared with a mythical lumberjack of United Statesian lore, and did this work predate or postdate the theatrical debut of Benjamin Britten's ""Peter Grimes""?
","In the athletic competition mirroring the ancient Greek pentathlon, yet confined by walls and demanding mastery over both speed and strength, what final trial of physical prowess, following sprints over miniature barriers, soaring leaps, extended bounds, a test of endurance over eight hundred paces, determines the ultimate victor?

The successor to Jim Thorpe, competing in a modern arena where the echoes of ancient Olympia are faint whispers, must overcome several challenges. After demonstrating prowess in short sprints over obstacles, vertical elevation, horizontal displacement, and a middle-distance run, what climactic event, often involving a weighted sphere, separates the champion from those who merely excel? This is a question posed not to the casual observer, but to the devotee of indoor athletic contests, specifically those sanctioned by the governing body of global track and field, before the introduction of the laser timing system but after the addition of the long jump.
"
"Who directed the 1945 film, 'Brief Encounter'?","{'aliases': ['DAVID LEAN', 'ISABEL LEAN', 'David Lean', 'Lean, Sir David', 'Sir David Lean', 'Isabel Lean'], 'normalized_aliases': ['sir david lean', 'isabel lean', 'david lean', 'lean sir david'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'david lean', 'type': 'WikipediaEntity', 'value': 'DAVID LEAN'}","Regarding a cinematic work of the mid-1940s, specifically one that tells of a fleeting romance: who was at the helm, guiding the actors and crafting the narrative for this production, a work that shares its release year with the conclusion of the Second World War and is known for its poignant portrayal of forbidden love?
","Amidst botanical nomenclature complexities, what appellation, divergent from its scientific designation, does the widely cultivated deciduous plant, often associated with avian melodies and boasting fragrant panicles of blooms, bear in common parlance, contrasting with, say, the 'Forsythia' or 'Weigela'?
","During the era when JFK's successor grappled with societal shifts and Motown's sound dominated airwaves, which composition, popularized by a crooner often likened to Sinatra and later reimagined by a quartet whose name evokes a spinning toy, reached the upper echelons of the Billboard charts, despite whispers that the initial artist's version was actually a cover of a tune by a lesser-known jazz performer from Chicago?
"
"If you are given the words - City Slickers and push-ups, can you name the person?","{'aliases': ['Jack pallance', 'Volodymyr Palahniuk', 'Jack Pallance', 'Vladimir Palahniuk', 'Walter Palanuik', 'Volodymyr Palahnyuk', 'Palance, Jack', 'Jack Palance'], 'normalized_aliases': ['walter palanuik', 'jack palance', 'volodymyr palahniuk', 'vladimir palahniuk', 'volodymyr palahnyuk', 'jack pallance', 'palance jack'], 'matched_wiki_entity_name': '', 'normalized_matched_wiki_entity_name': '', 'normalized_value': 'jack palance', 'type': 'WikipediaEntity', 'value': 'Jack Palance'}","If provided with references to a cinematic comedic portrayal of urbanites encountering rural life and a form of physical exercise often associated with upper body strength, can you identify the individual whose name connects to both a late-night talk show and a prominent role in said cinematic work, while also being the familial predecessor of someone known for a similar comedic style?
","Amidst discussions about pugilistic legacies, which individual, holding the title in the division above light heavy, concluded their career without a single defeat, unlike, say, Gene Tunney who suffered a single loss to Harry Greb, or Rocky Marciano, whose record is often compared?
","Amidst the windswept moors reminiscent of a bygone era, a tale unfolded, penned by a sibling in a celebrated literary family, a family known for their pseudonyms and tragic lives. This individual, a clergyman's daughter, also authored 'Agnes Grey', a narrative exploring the life of a governess. Knowing that her sister wrote 'Jane Eyre', and assuming that this text was completed before the death of her brother, whose artistic talents were arguably less successful than his sisters' literary achievements, and considering the Brontë family's publishing history during the mid-19th century, specifically before Charlotte's marriage, by which member of this parsonage's close-knit circle do we attribute the authorship of the narrative centered on a mysterious widow residing in a dilapidated Yorkshire estate, a narrative known as 'The Tenant of Wildfell Hall'?
"
